State,StateCode,Longitude,Latitude,Confirmed,Active,Recovered,Deceased,Tested
Andaman and Nicobar,AN,92.88957896,11.94237332,,,,,
Andhra Pradesh,AP,79.91620298,16.5541242,,,,,
Arunachal Pradesh,AR,94.54532681,27.72576542,,,,,
Assam,AS,92.65731036,26.32134089,,,,,
Bihar,BR,85.63677401,25.77139354,,,,,
Chandigarh,CH,76.75872466,30.7426,,,,,
Chhattisgarh,CT,82.12509334,21.55573858,,,,,
Dadra and Nagar Haveli,DN,73.09454961,20.21513217,,,,,
Delhi,DL,77.12804518,28.6459443,,,,,
Goa,GA,73.86601626,15.39350404,,,,,
Gujarat,GJ,72.19574739,22.37440585,,,,,
Haryana,HR,76.52123743,29.19561628,,,,,
Himachal Pradesh,HP,76.85561814,31.64946888,,,,,
Jammu and Kashmir,JK,75.00063062,33.651699,,,,,
Jharkhand,JH,85.85996246,23.76750555,,,,,
Karnataka,KA,76.29962468,14.36981709,,,,,
Kerala,KL,76.21770621,10.32670636,,,,,
Madhya Pradesh,MP,78.08249213,23.6356052,,,,,
Maharashtra,MH,75.27055447,19.39251561,,,,,
Manipur,MN,93.8644935,24.73897489,,,,,
Meghalaya,ML,91.2375107,25.48036736,,,,,
Mizoram,MZ,92.81661901,23.45835659,,,,,
Orissa,OR,84.98396584,20.52959736,,,,,
Puducherry,PY,79.75997363,11.94431293,,,,,
Punjab,PB,75.45295226,30.91206149,,,,,
Rajasthan,RJ,75.22539475,26.49328197,,,,,
Tamil Nadu,TN,78.76274652,11.15971133,,,,,
Tripura,TR,91.65871314,23.70930485,,,,,
Uttar Pradesh,UP,80.65919244,27.06916343,,,,,
Uttaranchal,UT,78.84563219,29.91025594,,,,,
West Bengal,WB,88.14959609,23.42134318,,,,,
