,DATE,Daily_Confi,Total_conf,Daily_recov,Total_recov,Daily_dead,Total_dead
,30 jan 2020,1,1,0,0,0,0
,31 jan 2020,0,1,0,0,0,0
,01 feb 2020,0,1,0,0,0,0
,02 feb 2020,1,2,0,0,0,0
,03 feb 2020,1,3,0,0,0,0
,04 feb 2020,0,3,0,0,0,0
,05 feb 2020,0,3,0,0,0,0
,06 feb 2020,0,3,0,0,0,0
,07 feb 2020,0,3,0,0,0,0
,08 feb 2020,0,3,0,0,0,0
,09 feb 2020,0,3,0,0,0,0
,10 feb 2020,0,3,0,0,0,0
,11 feb 2020,0,3,0,0,0,0
,12 feb 2020,0,3,0,0,0,0
,13 feb 2020,0,3,1,1,0,0
,14 feb 2020,0,3,0,1,0,0
,15 feb 2020,0,3,0,1,0,0
,16 feb 2020,0,3,1,2,0,0
,17 feb 2020,0,3,0,2,0,0
,18 feb 2020,0,3,0,2,0,0
,19 feb 2020,0,3,0,2,0,0
,20 feb 2020,0,3,1,3,0,0
,21 feb 2020,0,3,0,3,0,0
,22 feb 2020,0,3,0,3,0,0
,23 feb 2020,0,3,0,3,0,0
,24 feb 2020,0,3,0,3,0,0
,25 feb 2020,0,3,0,3,0,0
,26 feb 2020,0,3,0,3,0,0
,27 feb 2020,0,3,0,3,0,0
,28 feb 2020,0,3,0,3,0,0
,29 feb 2020,0,3,0,3,0,0
,01 mar 2020,0,3,0,3,0,0
,02 mar 2020,2,5,0,3,0,0
,03 mar 2020,1,6,0,3,0,0
,04 mar 2020,22,28,0,3,0,0
,05 mar 2020,2,30,0,3,0,0
,06 mar 2020,1,31,0,3,0,0
,07 mar 2020,3,34,0,3,0,0
,08 mar 2020,5,39,0,3,0,0
,09 mar 2020,9,48,0,3,0,0
,10 mar 2020,15,63,1,4,0,0
,11 mar 2020,8,71,0,4,0,0
,12 mar 2020,10,81,0,4,1,1
,13 mar 2020,10,91,6,10,0,1
,14 mar 2020,11,102,0,10,1,2
,15 mar 2020,10,112,3,13,0,2
,16 mar 2020,14,126,1,14,0,2
,17 mar 2020,20,146,1,15,1,3
,18 mar 2020,25,171,0,15,0,3
,19 mar 2020,27,198,5,20,1,4
,20 mar 2020,58,256,3,23,0,4
,21 mar 2020,78,334,0,23,0,4
,22 mar 2020,69,403,0,23,3,7
,23 mar 2020,94,497,2,25,2,9
,24 mar 2020,74,571,15,40,1,10
,25 mar 2020,86,657,3,43,1,11
,26 mar 2020,73,730,7,50,5,16
,27 mar 2020,153,883,25,75,3,19
,28 mar 2020,136,1019,10,85,5,24
,29 mar 2020,120,1139,17,102,3,27
,30 mar 2020,187,1326,35,137,16,43
,31 mar 2020,309,1635,13,150,6,49
,01 apr 2020,424,2059,19,169,7,56
,02 apr 2020,486,2545,22,191,16,72
,03 apr 2020,560,3105,39,230,14,86
,04 apr 2020,579,3684,56,286,13,99
,05 apr 2020,609,4293,43,329,22,121
,06 apr 2020,485,4778,65,394,16,137
,07 apr 2020,573,5351,75,469,27,164
,08 apr 2020,565,5916,96,565,20,184
,09 apr 2020,813,6729,70,635,46,230
,10 apr 2020,871,7600,151,786,22,252
,11 apr 2020,854,8454,186,972,40,292
,12 apr 2020,758,9212,114,1086,42,334
,13 apr 2020,1243,10455,112,1198,27,361
,14 apr 2020,1035,11490,167,1365,37,398
